Year,Category,Nominee,Additional Info,Won?
1991,Scientific and Technical (Scientific and Engineering Award),To HARRY J. BAKER for the design and development of the first full fluid-action tripod head with adjustable degrees of viscous drag. [Stage Operations],,YES
1991,Scientific and Technical (Scientific and Engineering Award),To GUIDO CARTONI for his pioneering work in developing the technology to achieve selectable and repeatable viscous drag modules in fluid tripod heads. [Stage Operations],,YES
1991,Scientific and Technical (Scientific and Engineering Award),"To RAY FEENEY, RICHARD KEENEY and RICHARD J. LUNDELL for the software development and adaptation of the Solitaire Film Recorder that provides a flexible, cost-effective film recording system. [Systems]",,YES
1991,Scientific and Technical (Scientific and Engineering Award),"To FAZ FAZAKAS, BRIAN HENSON, DAVE HOUSMAN, PETER MILLER and JOHN STEPHENSON for the development of the Henson Performance Control System. [Systems]",,YES
1991,Scientific and Technical (Scientific and Engineering Award),"To MARIO CELSO for his pioneering work in the design, development and manufacture of equipment for carbon arc and xenon power supplies and igniters used in motion picture projection. [Lighting]",,YES
1991,Scientific and Technical (Scientific and Engineering Award),"To RANDY CARTWRIGHT, DAVID B. COONS, LEM DAVIS, THOMAS HAHN, JAMES HOUSTON, MARK KIMBALL, DYLAN W. KOHLER, PETER NYE, MICHAEL SHANTZIS, DAVID F. WOLF and the WALT DISNEY FEATURE ANIMATION DEPARTMENT for the design and development of the CAPS"" production system for feature film animation. [Systems]""",,YES
1991,Scientific and Technical (Scientific and Engineering Award),"To GEORGE WORRALL for the design, development and manufacture of the Worrall geared camera head for motion picture production. [Stage Operations]",,YES
1991,Scientific and Technical (Technical Achievement Award),"To ROBERT W. STOKER, JR., for the design and development of a cobweb gun, for applying non-toxic cobweb effects on motion picture sets with both safety and ease of operation. [Stage Operations]",,YES
1991,Scientific and Technical (Technical Achievement Award),"To JAMES DOYLE for the design and development of the Dry Fogger, which uses liquid nitrogen to produce a safe, dense, low-hanging fog effects. [Stage Operations]",,YES
1991,Scientific and Technical (Technical Achievement Award),"To DICK CAVDEK, STEVE HAMERSKI and OTTO NEMENZ INTERNATIONAL, INCORPORATED for the opto-mechanical design and development of the Canon/Nemenz Zoom Lens. [Lenses and Filters]",,YES
1991,Scientific and Technical (Technical Achievement Award),To KEN ROBINGS and CLAIRMONT CAMERA for the opto-mechanical design and development of the Canon/Clairmont Camera Zoom Lens. [Lenses and Filters],,YES
1991,Scientific and Technical (Technical Achievement Award),To CENTURY PRECISION OPTICS for the opto-mechanical design and development of the Canon/Century Precision Optics Zoom Lens. [Lenses and Filters],,YES
1991,Scientific and Technical (Gordon E. Sawyer Award),Ray Harryhausen,,YES
1991,Scientific and Technical (Bonner Medal),To Richard J. Stumpf for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,YES
1991,Scientific and Technical (Bonner Medal),To Joseph Westheimer for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,YES
1991,Scientific and Technical (Special Awards),"To Pete Comandini, Richard T. Dayton, Donald Hagans and Richard T. Ryan of YCM Laboratories for the creation and development of a motion picture film restoration process using liquid gate and registration correction on a contact printer.",,YES
1990,Actor -- Leading Role,Kevin Costner,Dances With Wolves {'Lieutenant Dunbar'},NO
1990,Actor -- Leading Role,Robert De Niro,Awakenings {'Leonard Lowe'},NO
1990,Actor -- Leading Role,Gerard Depardieu,Cyrano de Bergerac {'Cyrano de Bergerac'},NO
1990,Actor -- Leading Role,Richard Harris,The Field {'Bull McCabe'},NO
1990,Actor -- Leading Role,Jeremy Irons,Reversal of Fortune {'Claus Von Bulow'},YES
1990,Actor -- Supporting Role,Bruce Davison,Longtime Companion {'David'},NO
1990,Actor -- Supporting Role,Andy Garcia,"The Godfather, Part III {'Vincent Mancini'}",NO
1990,Actor -- Supporting Role,Graham Greene,Dances With Wolves {'Kicking Bird'},NO
1990,Actor -- Supporting Role,Al Pacino,Dick Tracy {'Big Boy Caprice'},NO
1990,Actor -- Supporting Role,Joe Pesci,Good Fellas {'Tommy DeVito'},YES
1990,Actress -- Leading Role,Kathy Bates,Misery {'Annie Wilkes'},YES
1990,Actress -- Leading Role,Anjelica Huston,The Grifters {'Lilly Dillon'},NO
1990,Actress -- Leading Role,Julia Roberts,Pretty Woman {'Vivian Ward'},NO
1990,Actress -- Leading Role,Meryl Streep,Postcards from the Edge {'Suzanne Vale'},NO
1990,Actress -- Leading Role,Joanne Woodward,Mr. & Mrs. Bridge {'India Bridge'},NO
1990,Actress -- Supporting Role,Annette Bening,The Grifters {'Myra Langtry'},NO
1990,Actress -- Supporting Role,Lorraine Bracco,Good Fellas {'Karen Hill'},NO
1990,Actress -- Supporting Role,Whoopi Goldberg,Ghost {'Oda Mae Brown'},YES
1990,Actress -- Supporting Role,Diane Ladd,Wild at Heart {'Marietta Fortune'},NO
1990,Actress -- Supporting Role,Mary McDonnell,Dances With Wolves {'Stands With A Fist'},NO
1990,Art Direction,Cyrano de Bergerac,Art Direction: Ezio Frigerio; Set Decoration: Jacques Rouxel,NO
1990,Art Direction,Dances With Wolves,Art Direction: Jeffrey Beecroft; Set Decoration: Lisa Dean,NO
1990,Art Direction,Dick Tracy,Art Direction: Richard Sylbert; Set Decoration: Rick Simpson,YES
1990,Art Direction,"The Godfather, Part III",Art Direction: Dean Tavoularis; Set Decoration: Gary Fettis,NO
1990,Art Direction,Hamlet,Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,NO
1990,Cinematography,Avalon,Allen Daviau,NO
1990,Cinematography,Dances With Wolves,Dean Semler,YES
1990,Cinematography,Dick Tracy,Vittorio Storaro,NO
1990,Cinematography,"The Godfather, Part III",Gordon Willis,NO
1990,Cinematography,Henry & June,Philippe Rousselot,NO
1990,Costume Design,Avalon,Gloria Gresham,NO
1990,Costume Design,Cyrano de Bergerac,Franca Squarciapino,YES
1990,Costume Design,Dances With Wolves,Elsa Zamparelli,NO
1990,Costume Design,Dick Tracy,Milena Canonero,NO
1990,Costume Design,Hamlet,Maurizio Millenotti,NO
1990,Directing,Dances With Wolves,Kevin Costner,YES
1990,Directing,"The Godfather, Part III",Francis Ford Coppola,NO
1990,Directing,Good Fellas,Martin Scorsese,NO
1990,Directing,The Grifters,Stephen Frears,NO
1990,Directing,Reversal of Fortune,Barbet Schroeder,NO
1990,Documentary (Feature),American Dream,"Barbara Kopple and Arthur Cohn, Producers",YES
1990,Documentary (Feature),Berkeley in the Sixties,"Mark Kitchell, Producer",NO
1990,Documentary (Feature),Building Bombs,"Mark Mori and Susan Robinson, Producers",NO
1990,Documentary (Feature),Forever Activists: Stories from the Veterans of the Abraham Lincoln Brigade,"Judith Montell, Producer",NO
1990,Documentary (Feature),Waldo Salt: A Screenwriter's Journey,"Robert Hillmann and Eugene Corr, Producers",NO
1990,Documentary (Short Subject),Burning Down Tomorrow,"Kit Thomas, Producer",NO
1990,Documentary (Short Subject),Chimps: So Like Us,"Karen Goodman and Kirk Simon, Producers",NO
1990,Documentary (Short Subject),Days of Waiting,"Steven Okazaki, Producer",YES
1990,Documentary (Short Subject),Journey into Life: The World of the Unborn,"Derek Bromhall, Producer",NO
1990,Documentary (Short Subject),Rose Kennedy: A Life to Remember,"Freida Lee Mock and Terry Sanders, Producers",NO
1990,Film Editing,Dances With Wolves,Neil Travis,YES
1990,Film Editing,Ghost,Walter Murch,NO
1990,Film Editing,"The Godfather, Part III","Barry Malkin, Lisa Fruchtman, Walter Murch",NO
1990,Film Editing,Good Fellas,Thelma Schoonmaker,NO
1990,Film Editing,The Hunt for Red October,"Dennis Virkler, John Wright",NO
1990,Foreign Language Film,Cyrano de Bergerac,France,NO
1990,Foreign Language Film,Journey of Hope,Switzerland,YES
1990,Foreign Language Film,Ju Dou,People's Republic of China,NO
1990,Foreign Language Film,The Nasty Girl,Germany,NO
1990,Foreign Language Film,Open Doors,Italy,NO
1990,Makeup,Cyrano de Bergerac,"Michle Burke, Jean-Pierre Eychenne",NO
1990,Makeup,Dick Tracy,"John Caglione, Jr., Doug Drexler",YES
1990,Makeup,Edward Scissorhands,"Ve Neill, Stan Winston",NO
1990,Music (Scoring),Avalon,Randy Newman,NO
1990,Music (Scoring),Dances With Wolves,John Barry,YES
1990,Music (Scoring),Ghost,Maurice Jarre,NO
1990,Music (Scoring),Havana,David Grusin,NO
1990,Music (Scoring),Home Alone,John Williams,NO
1990,Music (Song),Young Guns II,Music and Lyric by Jon Bon Jovi,NO
1990,Music (Song),Postcards from the Edge,Music and Lyric by Shel Silverstein,NO
1990,Music (Song),"The Godfather, Part III",Music by Carmine Coppola; Lyric by John Bettis,NO
1990,Music (Song),Home Alone,Music by John Williams; Lyric by Leslie Bricusse,NO
1990,Music (Song),Dick Tracy,Music and Lyric by Stephen Sondheim,YES
1990,Best Picture,Awakenings,"Walter F. Parkes and Lawrence Lasker, Producers",NO
1990,Best Picture,Dances With Wolves,"Jim Wilson and Kevin Costner, Producers",YES
1990,Best Picture,Ghost,"Lisa Weinstein, Producer",NO
1990,Best Picture,"The Godfather, Part III","Francis Ford Coppola, Producer",NO
1990,Best Picture,Good Fellas,"Irwin Winkler, Producer",NO
1990,Short Film (Animated),Creature Comforts,Nick Park,YES
1990,Short Film (Animated),A Grand Day Out,Nick Park,NO
1990,Short Film (Animated),Grasshoppers (Cavallette),Bruno Bozzetto,NO
1990,Short Film (Live Action),Bronx Cheers,"Raymond De Felitta, Matthew Gross",NO
1990,Short Film (Live Action),Dear Rosie,"Peter Cattaneo, Barnaby Thompson",NO
1990,Short Film (Live Action),The Lunch Date,Adam Davidson,YES
1990,Short Film (Live Action),Senzeni Na? (What Have We Done?),"Bernard Joffa, Anthony E. Nicholas",NO
1990,Short Film (Live Action),12:01 PM,"Hillary Ripps, Jonathan Heap",NO
1990,Sound,Dances With Wolves,"Jeffrey Perkins, Bill W. Benton, Greg Watkins, Russell Williams II",YES
1990,Sound,Days of Thunder,"Donald O. Mitchell, Rick Kline, Kevin O'Connell, Charles Wilborn",NO
1990,Sound,Dick Tracy,"Chris Jenkins, David E. Campbell, D. M. Hemphill, Thomas Causey",NO
1990,Sound,The Hunt for Red October,"Don Bassman, Richard Overton, Kevin F. Cleary, Richard Bryce Goodman",NO
1990,Sound,Total Recall,"Michael J. Kohut, Carlos de Larios, Aaron Rochin, Nelson Stoll",NO
1990,Sound Editing,Flatliners,"Charles L. Campbell, Richard Franklin",NO
1990,Sound Editing,The Hunt for Red October,"Cecelia Hall, George Watters II",YES
1990,Sound Editing,Total Recall,Stephen H. Flick,NO
1990,Visual Effects,Total Recall,"Eric Brevig, Rob Bottin, Tim McGovern, Alex Funke",YES
1990,Writing,Awakenings,Steven Zaillian,NO
1990,Writing,Dances With Wolves,Michael Blake,YES
1990,Writing,Good Fellas,"Nicholas Pileggi, Martin Scorsese",NO
1990,Writing,The Grifters,Donald E. Westlake,NO
1990,Writing,Reversal of Fortune,Nicholas Kazan,NO
1990,Writing,Alice,Woody Allen,NO
1990,Writing,Avalon,Barry Levinson,NO
1990,Writing,Ghost,Bruce Joel Rubin,YES
1990,Writing,Green Card,Peter Weir,NO
1990,Writing,Metropolitan,Whit Stillman,NO
1990,Special Achievement Award,Total Recall,"Eric Brevig, Rob Bottin, Tim McGovern, Alex Funke",YES
1990,Honorary Award,"To Sophia Loren, one of the genuine treasures of world cinema who, in a career rich with memorable performances, has added permanent luster to our art form.",,YES
1990,Honorary Award,"To Myrna Loy, in recognition of her extraordinary qualities both on screen and off, with appreciation for a lifetime's worth of indelible performances.",,YES
1990,Irving G. Thalberg Memorial Award,David Brown and Richard D. Zanuck,,YES
1990,Scientific and Technical (Academy Award of Merit),To EASTMAN KODAK COMPANY for the development of T-Grain technology and the introduction of EXR color negative films which utilize this technology. [Film],,YES
1990,Scientific and Technical (Scientific and Engineering Award),"To BRUCE WILTON and CARLOS ICINKOFF of Mechanical Concepts, Incorporated, for the development of the Mechanical Concepts Optical Printer Platform. [Special Photographic]",,YES
1990,Scientific and Technical (Scientific and Engineering Award),"To the ENGINEERING DEPARTMENT OF ARNOLD & RICHTER for the continued design improvements of the Arriflex BL Camera System, culminating in the 35BL-4S model. [Camera]",,YES
1990,Scientific and Technical (Scientific and Engineering Award),"To the FUJI PHOTO FILM COMPANY, LIMITED, for the development and introduction of the F-Series of color negative films covering the range of film speeds from EI 64 to EI 500. [Film]",,YES
1990,Scientific and Technical (Scientific and Engineering Award),"To MANFRED G. MICHELSON of Technical Film Systems, Incorporated, for the design and development of the first sprocket-driven film transport system for color print film processors which permits transport speeds in excess of 600 feet per minute. [Laboratory]",,YES
1990,Scientific and Technical (Scientific and Engineering Award),"To JOHN W. LANG, WALTER HRASTNIK and CHARLES J. WATSON of Bell and Howell Company for the development and manufacture of a modular continuous contact motion picture film printer. [Laboratory]",,YES
1990,Scientific and Technical (Technical Achievement Award),"To WILLIAM L. BLOWERS of Belco Associates, Incorporated and THOMAS F. DENOVE for the development and manufacture of the Belco/Denove Cinemeter. This digital/analog exposure meter was specifically and uniquely designed for the cinematographer. [Photography]",,YES
1990,Scientific and Technical (Technical Achievement Award),"To IAIN NEIL for optical design; TAKUO MIYAGISHIMA for the mechanical design; and PANAVISION, INCORPORATED, for the concept and development of the Primo Series of spherical prime lenses for 35mm cinematography. [Lenses and Filters]",,YES
1990,Scientific and Technical (Technical Achievement Award),"To CHRISTOPHER S. GILMAN and HARVEY HUBERT, JR. of the Diligent Dwarves Effects Lab for the development of the Actor Climate System, consisting of heat-transferring undergarments. [Stage Operations]",,YES
1990,Scientific and Technical (Technical Achievement Award),"To JIM GRAVES of J&G Enterprises for the development of the Cool Suit System, consisting of heat-transferring undergarments. [Stage Operations]",,YES
1990,Scientific and Technical (Technical Achievement Award),"To BENGT O. ORHALL, KENNETH LUND, BJORN SELIN and KJELL HOGBERG of AB Film-Teknik for the development and manufacture of the Mark IV film subtitling processor, which has increased the speed, simplified the operation and improved the quality of subtitling. [Laboratory]",,YES
1990,Scientific and Technical (Technical Achievement Award),"To RICHARD MULA and PETE ROMANO of HydroImage, Incorporated, for the development of the SeaPar 1200 watt HMI Underwater Lamp. [Lighting]",,YES
1990,Scientific and Technical (Technical Achievement Award),"To DEDO WEIGERT of Dedo Weigert Film GmbH for the development of the Dedolight, a miniature low-voltage tungsten-halogen lighting fixture. [Lighting]",,YES
1990,Scientific and Technical (Technical Achievement Award),"To DR. FRED KOLB, JR. and PAUL PREO for the concept and development of a 35mm projection test film. [Film]",,YES
1990,Scientific and Technical (Technical Achievement Award),To PETER BALDWIN for the design; DR. PAUL KIANKHOOY and the LIGHTMAKER COMPANY for the development of the Lightmaker AC/DC HMI Ballast. [Lighting],,YES
1990,Scientific and Technical (Technical Achievement Award),To the ALL-UNION CINEMA AND PHOTO RESEARCH INSTITUTE (NIKFI) for continuously improving and providing 3-D presentations to Soviet motion picture audiences for the last 25 years. [Systems],,YES
1990,Scientific and Technical (Gordon E. Sawyer Award),Stefan Kudelski,,YES
1990,Scientific and Technical (Bonner Medal),To Roderick T. Ryan in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,YES
1990,Scientific and Technical (Bonner Medal),To Don Trumbull in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,YES
1990,Scientific and Technical (Bonner Medal),To Geoffrey H. Williamson in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,YES
1989,Actor -- Leading Role,Kenneth Branagh,Henry V {'Henry V'},NO
1989,Actor -- Leading Role,Tom Cruise,Born on the Fourth of July {'Ron Kovic'},NO
1989,Actor -- Leading Role,Daniel Day Lewis,My Left Foot {'Christy Brown'},YES
1989,Actor -- Leading Role,Morgan Freeman,Driving Miss Daisy {'Hoke Colburn'},NO
1989,Actor -- Leading Role,Robin Williams,Dead Poets Society {'John Keating'},NO
1989,Actor -- Supporting Role,Danny Aiello,Do the Right Thing {'Sal'},NO
1989,Actor -- Supporting Role,Dan Aykroyd,Driving Miss Daisy {'Boolie Werthan'},NO
1989,Actor -- Supporting Role,Marlon Brando,A Dry White Season {'McKenzie'},NO
1989,Actor -- Supporting Role,Martin Landau,Crimes and Misdemeanors {'Judah Rosenthal'},NO
1989,Actor -- Supporting Role,Denzel Washington,Glory {'Trip'},YES
1989,Actress -- Leading Role,Isabelle Adjani,Camille Claudel {'Camille Claudel'},NO
1989,Actress -- Leading Role,Pauline Collins,Shirley Valentine {'Shirley Valentine'},NO
1989,Actress -- Leading Role,Jessica Lange,Music Box {'Ann Talbot'},NO
1989,Actress -- Leading Role,Michelle Pfeiffer,The Fabulous Baker Boys {'Susie Diamond'},NO
1989,Actress -- Leading Role,Jessica Tandy,Driving Miss Daisy {'Daisy Werthan'},YES
1989,Actress -- Supporting Role,Brenda Fricker,My Left Foot {'Mrs. Brown'},YES
1989,Actress -- Supporting Role,Anjelica Huston,"Enemies, A Love Story {'Tamara'}",NO
1989,Actress -- Supporting Role,Lena Olin,"Enemies, A Love Story {'Masha'}",NO
1989,Actress -- Supporting Role,Julia Roberts,Steel Magnolias {'Shelby Eatenton'},NO
1989,Actress -- Supporting Role,Dianne Wiest,Parenthood {'Helen'},NO
1989,Art Direction,The Abyss,Art Direction: Leslie Dilley; Set Decoration: Anne Kuljian,NO
1989,Art Direction,The Adventures of Baron Munchausen,Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,NO
1989,Art Direction,Batman,Art Direction: Anton Furst; Set Decoration: Peter Young,YES
1989,Art Direction,Driving Miss Daisy,Art Direction: Bruno Rubeo; Set Decoration: Crispian Sallis,NO
1989,Art Direction,Glory,Art Direction: Norman Garwood; Set Decoration: Garrett Lewis,NO
1989,Cinematography,The Abyss,Mikael Salomon,NO
1989,Cinematography,Blaze,Haskell Wexler,NO
1989,Cinematography,Born on the Fourth of July,Robert Richardson,NO
1989,Cinematography,The Fabulous Baker Boys,Michael Ballhaus,NO
1989,Cinematography,Glory,Freddie Francis,YES
1989,Costume Design,The Adventures of Baron Munchausen,Gabriella Pescucci,NO
1989,Costume Design,Driving Miss Daisy,Elizabeth McBride,NO
1989,Costume Design,Harlem Nights,Joe I. Tompkins,NO
1989,Costume Design,Henry V,Phyllis Dalton,YES
1989,Costume Design,Valmont,Theodor Pistek,NO
1989,Directing,Born on the Fourth of July,Oliver Stone,YES
1989,Directing,Crimes and Misdemeanors,Woody Allen,NO
1989,Directing,Dead Poets Society,Peter Weir,NO
1989,Directing,Henry V,Kenneth Branagh,NO
1989,Directing,My Left Foot,Jim Sheridan,NO
1989,Documentary (Feature),Adam Clayton Powell,"Richard Killberg and Yvonne Smith, Producers",NO
1989,Documentary (Feature),Common Threads: Stories from the Quilt,"Robert Epstein and Bill Couturi, Producers",YES
1989,Documentary (Feature),Crack USA: County under Siege,"Vince DiPersio and William Guttentag, Producers",NO
1989,Documentary (Feature),For All Mankind,"Al Reinert and Betsy Broyles Breier, Producers",NO
1989,Documentary (Feature),Super Chief: The Life and Legacy of Earl Warren,"Judith Leonard and Bill Jersey, Producers",NO
1989,Documentary (Short Subject),"Fine Food, Fine Pastries, Open 6 to 9","David Petersen, Producer",NO
1989,Documentary (Short Subject),The Johnstown Flood,"Charles Guggenheim, Producer",YES
1989,Documentary (Short Subject),Yad Vashem: Preserving the Past to Ensure the Future,"Ray Errol Fox, Producer",NO
1989,Film Editing,The Bear,Nolle Boisson,NO
1989,Film Editing,Born on the Fourth of July,"David Brenner, Joe Hutshing",YES
1989,Film Editing,Driving Miss Daisy,Mark Warner,NO
1989,Film Editing,The Fabulous Baker Boys,William Steinkamp,NO
1989,Film Editing,Glory,Steven Rosenblum,NO
1989,Foreign Language Film,Camille Claudel,France,NO
1989,Foreign Language Film,Cinema Paradiso,Italy,YES
1989,Foreign Language Film,Jesus of Montreal,Canada,NO
1989,Foreign Language Film,Waltzing Regitze,Denmark,NO
1989,Foreign Language Film,What Happened to Santiago,Puerto Rico,NO
1989,Makeup,The Adventures of Baron Munchausen,"Maggie Weston, Fabrizio Sforza",NO
1989,Makeup,Dad,"Dick Smith, Ken Diaz, Greg Nelson",NO
1989,Makeup,Driving Miss Daisy,"Manlio Rocchetti, Lynn Barber, Kevin Haney",YES
1989,Music (Scoring),Born on the Fourth of July,John Williams,NO
1989,Music (Scoring),The Fabulous Baker Boys,David Grusin,NO
1989,Music (Scoring),Field of Dreams,James Horner,NO
1989,Music (Scoring),Indiana Jones and the Last Crusade,John Williams,NO
1989,Music (Scoring),The Little Mermaid,Alan Menken,YES
1989,Music (Song),Chances Are,Music by Tom Snow; Lyric by Dean Pitchford,NO
1989,Music (Song),Shirley Valentine,Music by Marvin Hamlisch; Lyric by Alan Bergman and Marilyn Bergman,NO
1989,Music (Song),Parenthood,Music and Lyric by Randy Newman,NO
1989,Music (Song),The Little Mermaid,Music by Alan Menken; Lyric by Howard Ashman,NO
1989,Music (Song),The Little Mermaid,Music by Alan Menken; Lyric by Howard Ashman,YES
1989,Best Picture,Born on the Fourth of July,"A. Kitman Ho and Oliver Stone, Producers",NO
1989,Best Picture,Dead Poets Society,"Steven Haft, Paul Junger Witt and Tony Thomas, Producers",NO
1989,Best Picture,Driving Miss Daisy,"Richard D. Zanuck and Lili Fini Zanuck, Producers",YES
1989,Best Picture,Field of Dreams,"Lawrence Gordon and Charles Gordon, Producers",NO
1989,Best Picture,My Left Foot,"Noel Pearson, Producer",NO
1989,Short Film (Animated),Balance,"Christoph Lauenstein, Wolfgang Lauenstein",YES
1989,Short Film (Animated),The Cow,Alexander Petrov,NO
1989,Short Film (Animated),The Hill Farm,Mark Baker,NO
1989,Short Film (Live Action),Amazon Diary,Robert Nixon,NO
1989,Short Film (Live Action),The Childeater,Jonathan Tammuz,NO
1989,Short Film (Live Action),Work Experience,James Hendrie,YES
1989,Sound,The Abyss,"Don Bassman, Kevin F. Cleary, Richard Overton, Lee Orloff",NO
1989,Sound,Black Rain,"Donald O. Mitchell, Kevin O'Connell, Greg P. Russell, Keith A. Wester",NO
1989,Sound,Born on the Fourth of July,"Michael Minkler, Gregory H. Watkins, Wylie Stateman, Tod A. Maitland",NO
1989,Sound,Glory,"Donald O. Mitchell, Gregg C. Rudloff, Elliot Tyson, Russell Williams II",YES
1989,Sound,Indiana Jones and the Last Crusade,"Ben Burtt, Gary Summers, Shawn Murphy, Tony Dawe",NO
1989,Sound Editing,Black Rain,"Milton C. Burrow, William L. Manger",NO
1989,Sound Editing,Indiana Jones and the Last Crusade,"Ben Burtt, Richard Hymns",YES
1989,Sound Editing,Lethal Weapon 2,"Robert Henderson, Alan Robert Murray",NO
1989,Visual Effects,The Abyss,"John Bruno, Dennis Muren, Hoyt Yeatman, Dennis Skotak",YES
1989,Visual Effects,The Adventures of Baron Munchausen,"Richard Conway, Kent Houston",NO
1989,Visual Effects,Back to the Future Part II,"Ken Ralston, Michael Lantieri, John Bell, Steve Gawley",NO
1989,Writing,Born on the Fourth of July,"Oliver Stone, Ron Kovic",NO
1989,Writing,Driving Miss Daisy,Alfred Uhry,YES
1989,Writing,"Enemies, A Love Story","Roger L. Simon, Paul Mazursky",NO
1989,Writing,Field of Dreams,Phil Alden Robinson,NO
1989,Writing,My Left Foot,"Jim Sheridan, Shane Connaughton",NO
1989,Writing,Crimes and Misdemeanors,Woody Allen,NO
1989,Writing,Dead Poets Society,Tom Schulman,YES
1989,Writing,Do the Right Thing,Spike Lee,NO
1989,Writing,"sex, lies, and videotape",Steven Soderbergh,NO
1989,Writing,When Harry Met Sally...,Nora Ephron,NO
1989,Honorary Award,"To Akira Kurosawa for accomplishments that have inspired, delighted, enriched and entertained audiences and influenced filmmakers throughout the world.",,YES
1989,Jean Hersholt Humanitarian Award,Howard W. Koch,,YES
1989,Scientific and Technical (Scientific and Engineering Award),"To JAMES KETCHAM of JSK Engineering, for the excellence in engineering and the broad adaptability of the SDA521B Advance/Retard system for magnetic film sound dubbing. [Sound]",,YES
1989,Scientific and Technical (Scientific and Engineering Award),"To J. NOXON LEAVITT, for the invention of, and ISTEC, INCORPORATED, for the continuing development of the Wescam Stabilized Camera System. [Camera]",,YES
1989,Scientific and Technical (Scientific and Engineering Award),"To GEOFFREY H. WILLIAMSON of Wilcam Photo Research, Incorporated, for the design and development, and to ROBERT D. AUGUSTE for the electronic design and development of the Wilcam W-7 200 frames-per-second VistaVision Rotating Mirror Reflex Camera. [Camera]",,YES
1989,Scientific and Technical (Scientific and Engineering Award),"To J. L. FISHER of J. L. Fisher, Incorporated, for the design and manufacture of a small, mobile motion picture camera platform known as the Fisher Model Ten Dolly. [Camera Cranes]",,YES
1989,Scientific and Technical (Scientific and Engineering Award),"To KLAUS RESCH for the design, ERICH FITZ and FGV SCHMIDLE & FITZ for the development of the Super Panther MS-180 Camera Dolly. [Camera Cranes]",,YES
1989,Scientific and Technical (Technical Achievement Award),To DR. LEO CATOZZO for the design and development of the CIR-Catozzo Self-Perforating Adhesive Tape Film Splicer. [Editorial],,YES
1989,Scientific and Technical (Technical Achievement Award),To MAGNA-TECH ELECTRONIC COMPANY for the introduction of the first remotely controlled Advance/Retard function for magnetic film sound dubbing. [Sound],,YES
1989,Scientific and Technical (Gordon E. Sawyer Award),Pierre Angenieux,,YES
1989,Scientific and Technical (Special Awards),"The Academy of Motion Picture Arts and Sciences' Board of Governors commends the contributions of the members of the engineering committees of the Society of Motion Picture and Television Engineers (SMPTE). By establishing industry standards, they have greatly contributed to making film a primary form of international communication.",,YES
1988,Actor -- Leading Role,Gene Hackman,Mississippi Burning {'Anderson'},NO
1988,Actor -- Leading Role,Tom Hanks,Big {'Josh'},NO
1988,Actor -- Leading Role,Dustin Hoffman,Rain Man {'Raymond Babbitt'},YES
1988,Actor -- Leading Role,Edward James Olmos,Stand and Deliver {'Jaime Escalante'},NO
1988,Actor -- Leading Role,Max Von Sydow,Pelle the Conqueror {'Lasse Karlsson'},NO
1988,Actor -- Supporting Role,Alec Guinness,Little Dorrit {'William Dorrit'},NO
1988,Actor -- Supporting Role,Kevin Kline,A Fish Called Wanda {'Otto'},YES
1988,Actor -- Supporting Role,Martin Landau,Tucker The Man and His Dream {'Abe'},NO
1988,Actor -- Supporting Role,River Phoenix,Running on Empty {'Danny Pope'},NO
1988,Actor -- Supporting Role,Dean Stockwell,Married to the Mob {'Tony 'the Tiger' Russo'},NO
1988,Actress -- Leading Role,Glenn Close,Dangerous Liaisons {'Marquise de Merteuil'},NO
1988,Actress -- Leading Role,Jodie Foster,The Accused {'Sarah Tobias'},YES
1988,Actress -- Leading Role,Melanie Griffith,Working Girl {'Tess McGill'},NO
1988,Actress -- Leading Role,Meryl Streep,A Cry in the Dark {'Lindy'},NO
1988,Actress -- Leading Role,Sigourney Weaver,Gorillas in the Mist {'Dian Fossey'},NO
1988,Actress -- Supporting Role,Joan Cusack,Working Girl {'Cyn'},NO
1988,Actress -- Supporting Role,Geena Davis,The Accidental Tourist {'Muriel'},YES
1988,Actress -- Supporting Role,Frances McDormand,Mississippi Burning {'Mrs. Pell'},NO
1988,Actress -- Supporting Role,Michelle Pfeiffer,Dangerous Liaisons {'Madame de Tourvel'},NO
1988,Actress -- Supporting Role,Sigourney Weaver,Working Girl {'Katharine Parker'},NO
1988,Animated Feature Film,To Richard Williams for the animation direction of Who Framed Roger Rabbit.,,YES
1988,Art Direction,Beaches,Art Direction: Albert Brenner; Set Decoration: Garrett Lewis,NO
1988,Art Direction,Dangerous Liaisons,Art Direction: Stuart Craig; Set Decoration: Gerard James,YES
1988,Art Direction,Rain Man,Art Direction: Ida Random; Set Decoration: Linda DeScenna,NO
1988,Art Direction,Tucker The Man and His Dream,Art Direction: Dean Tavoularis; Set Decoration: Armin Ganz,NO
1988,Art Direction,Who Framed Roger Rabbit,Art Direction: Elliot Scott; Set Decoration: Peter Howitt,NO
1988,Cinematography,Mississippi Burning,Peter Biziou,YES
